distancia_x,inclinacion
0,0.0
103,-0.0029
208,0.0029
313,0.0028
418,0.0019
519,-0.0029
622,0.0029
724,0.0
828,-0.0039
930,-0.0117
1036,-0.0518
1139,-0.0215
1243,-0.0038
1351,-0.0121
1452,-0.0257
1553,-0.004
1656,-0.0077
1761,-0.0277
1867,-0.0085
1968,0.003
2072,0.0048
2173,0.001
2275,-0.002
2377,0.0019
2477,0.005
2581,0.0039
2687,0.0038
2787,-0.008
2895,-0.0056
2998,0.001
3101,0.0078
3204,0.0048
3304,-0.001
3409,-0.0019
3515,-0.0028
3619,-0.0038
3719,-0.001
3820,0.003
3924,0.0058
4027,0.0048
4131,0.0077
4233,0.0089
4338,0.0095
4440,0.0176
4546,0.0038
4652,0.0019
4757,-0.0323
4862,-0.0029
4965,0.0039
5066,0.0069
5170,0.0048
5271,0.004
5372,0.003
5473,0.003
5581,0.0009
5685,0.001
5788,0.0
5894,0.0
5996,0.0
6098,0.002
6198,0.001
6303,0.0
6405,-0.0049
6510,0.0
6611,-0.002
6712,-0.004
6814,-0.0049
6919,0.0153
7022,0.0078
7125,-0.0049
7230,-0.02
7332,-0.0217
7433,-0.0129
7538,-0.001
7641,0.0107
7742,0.0337
7844,0.042
7948,0.0327
8050,0.0226
8152,0.002
8256,-0.0106
8361,-0.0276
8467,-0.0272
8572,-0.0134
8679,-0.0066
8782,-0.0097
8891,-0.0147
8993,0.0224
9099,-0.0057
9206,-0.0224
9306,0.002
9409,0.0097
9512,0.0146
9616,0.0106
9721,0.0038
9823,0.0029
9926,0.0019
10028,-0.0039
10133,-0.0191
10237,-0.0211
10344,0.0075
10448,0.0125
10554,0.0161
10657,0.0174
10763,0.0048
10865,-0.0059
10965,-0.0178
11072,-0.0243
11183,-0.0199
11289,-0.0019
11393,0.0058
11497,0.0068
11603,-0.0038
11706,-0.0019
11809,-0.0126
11912,-0.0029
12014,0.0049
12117,0.0087
12223,0.0085
12323,0.0
12429,0.0009
12530,-0.001
12637,-0.0056
12740,-0.0048
12842,-0.001
12945,0.0019
13053,0.0028
13157,0.001
13263,0.0
13369,0.0
13473,0.001
13575,0.0206
13679,0.0317
13787,0.0075
13892,0.001
13996,0.0
14098,0.0089
14202,0.0135
14308,0.016
14410,0.0127
14512,0.0109
14612,0.0069
14716,0.0048
14817,0.001
14919,-0.0049
15025,-0.0047
15128,0.0029
15228,0.049
15331,0.0615
15434,0.065
15537,0.0591
